"CHARACTER_ID","CHARACTER_NAME","ACTOR"
1,"Tony Stark/Iron Man","Robert Downey ,Jr."
2,"Rhodey","Terrence Howard"
3,"Obadiah Stane","Jeff Bridges"
4,"Virginia ""Pepper"" Potts","Gwyneth Paltrow"
5,"Bruce Banner","Edward Norton"
8,"Natalie Rushman/Natasha Romanoff","Scarlett Johansson"
9,"Lt. Col. James ""Rhodey"" Rhodes","Don Cheadle"
10,"Ivan Vanko","Mickey Rourke"
11,"Thor","Chris Hemsworth"
12,"Jane Foster","Natalie Portman"
13,"Loki","Tom Hiddleston"
14,"Odin","Anthony Hopkins"
15,"Heimdall","Idris Elba"
16,"Steve Rogers / Captain America","Chris Evans"
17,"Chester Philips","Tommy Lee Jones"
18,"Bucky Barnes","Sebastian Stan"
19,"Peggy Carter","Hayley Atwell"
24,"Aldrich Killian","Guy Pearce"
25,"The Mandarin","Ben Kingsley"
31,"Malekith the Accursed","Christopher Eccleston"
32,"Sif","Jaimie Alexander"
36,"Agent Alexander Pierce","Robert Redford"
37,"Nick Fury","Samuel L. Jackson"
38,"Peter Quill","Chris Pratt"
39,"Gamora","Zoe Saldana"
40,"Drax","Dave Bautista"
41,"Groot","Vin Diesel"
42,"Rocket","Bradley Cooper"
43,"Ultron","James Spader"
44,"Scott Lang / Ant-Man","Paul Rudd"
45,"Hope Van Dyne","Evangeline Lilly"
46,"Darren Cross / Yellowjacket","Corey Stoll"
47,"Paxton","Bobby Cannavale"
48,"Luis","Michael Pe�a"
49,"Dr Hank Pym / Ant-Man","Michael Douglas"
54,"Clint Barton/Hawkeye","Jeremy Renner"
56,"Sam Wilson/Falcon","Anthony Mackie"
57,"Vision","Paul Bettany"
58,"Wanda Maximoff/Scarlet Witch","Elizabeth Olsen"
59,"T'Challa/Black Panther","Chadwick Boseman"
60,"Doctor Stephen Strange","Benedict Cumberbatch"
61,"Baron Mordo","Chiwetel Ejiofor"
62,"Dr. Christine Palmer","Rachel McAdams"
63,"Master Wong","Benedict Wong"
64,"Kaecilius","Mads Mikkelsen"
65,"The Ancient One","Tilda Swinton"
71,"Yondu Udonta","Michael Rooker"
72,"Ego","Kurt Russell"
73,"Nebula","Karen Gillan"
74,"Mantis","Pom Klementieff"
75,"Ayesha","Elizabeth Debicki"
76,"Peter Parker / Spider-Man","Tom Holland"
77,"Adrian Toomes/Vulture","Michael Keaton"
78,"Michelle","Zendaya"
79,"Happy Hogan","Jon Favreau"
80,"Aunt May","Marisa Tomei"
84,"Hela","Cate Blanchett"
86,"Grandmaster","Jeff Goldblum"
87,"Valkyrie","Tessa Thompson"
88,"Skurge","Karl Urban"
89,"Bruce Banner/Hulk","Mark Ruffalo"
92,"Erik Killmonger","Michael B. Jordan"
93,"Nakia","Lupita Nyong'o"
94,"Okoye","Danai Gurira"
95,"Everett K. Ross","Martin Freeman"
96,"Ramonda","Angela Bassett"
97,"Zuri","Forest Whitaker"
98,"Ulysses Klaue","Andy Serkis"
99,"W�Kabi","Daniel Kaluuya"
100,"Shuri","Letitia Wright"
117,"Thanos","Josh Brolin"
127,"Sonny Burch","Walton Goggins"
128,"Ava Starr/Ghost","Hannah John-Kamen"
129,"Janet van Dyne","Michelle Pfeiffer"
130,"Dr. Bill Foster/Goliath","Laurence Fishburne"
132,"Carol Danvers/Vers/Captain Marvel","Brie Larson"
134,"Talos/Keller","Ben Mendelsohn"
135,"Korath the Pursuer","Djimon Hounsou"
136,"Ronan the Accuser","Lee Pace"
137,"Maria Rambeau","Lashana Lynch"
138,"Minn-Erva","Gemma Chan"
139,"Supreme Intelligence","Annette Bening"
140,"Agent Phil Coulson","Clark Gregg"
146,"Clint Barton/Hawkeye","Jeremy Renner"
163,"Groot","Terry Notary"
176,"Quentin Beck/Mysterio","Jake Gyllenhaal"
178,"Yelena Belova","Florence Pugh"
179,"Melina","Rachel Weisz"
180,"Alexei/Red Guardian","David Harbour"
181,"Dreykov","Ray Winstone"
182,"Mason","O.T. Fagbenle"
183,"Shang-Chi","Simu Liu"
184,"Kingo","Kumail Nanjiani"
185,"Thena","Angelina Jolie"
186,"Ikaris","Richard Madden"
187,"Ajak","Salma Hayek"
188,"Phastos","Brian Tyree Henry"
189,"Makkari","Lauren Ridloff"
190,"Druig","Barry Keoghan"
192,"Sprite","Lia McHugh"
193,"Gilgamesh","Don Lee"
199,"America Chavez","Xochitl Gomez"
200,"Nicodemus West","Michael Stuhlbarg"
203,"Gorr the God Butcher","Christian Bale"
205,"Korg","Taika Waititi"
206,"Zeus","Russell Crowe"
211,"M�Baku","Winston Duke"
212,"Riri Williams/Ironheart","Dominique Thorne"
213,"Ayo","Florence Kasumba"
214,"Aneka","Michaela Coel"
215,"Namor","Tenoch Huerta"
220,"Kang the Conqueror","Jonathan Majors"
221,"Cassie Lang","Kathryn Newton"
222,"Lord Krylar","Bill Murray"
232,"Kraglin Obfonteri/Young Rocket/Lamb-Shank","Sean Gunn"
233,"Cosmo the Spacedog","Maria Bakalova"
235,"Monica Rambeau","Teyonah Parris"
237,"Kamala Khan / Ms. Marvel","Iman Vellani"
238,"Wade Wilson / Deadpool","Ryan Reynolds"
239,"James �Logan� Howlett / Wolverine","Hugh Jackman"
241,"Joaquin Torres / Falcon","Danny Ramirez"
242,"Ruth Bat-Seraph","Shira Haas"
243,"Sidewinder","Giancarlo Esposito"
244,"Samuel Sterns / Leader","Tim Blake Nelson"
245,"President Thaddeus �Thunderbolt� Ross","Harrison Ford"
