"ID","MOVIE_ID","CHARACTER_ID"
1,1,1
2,1,2
3,1,3
4,1,4
5,2,5
6,3,1
7,3,4
8,3,8
9,3,9
10,3,10
11,4,11
12,4,12
13,4,13
14,4,14
15,4,15
16,5,16
17,5,17
18,5,18
19,5,19
20,6,13
21,7,1
22,7,4
23,7,9
24,7,24
25,7,25
26,8,11
27,8,12
28,8,13
29,8,14
30,8,15
31,8,31
32,8,32
33,9,16
34,9,8
35,9,18
36,9,36
37,9,37
38,10,38
39,10,39
40,10,40
41,10,41
42,10,42
43,11,43
44,12,44
45,12,45
46,12,46
47,12,47
48,12,48
49,12,49
50,13,16
51,13,1
52,13,8
53,13,18
54,13,54
55,13,9
56,13,56
57,13,57
58,13,58
59,13,59
60,14,60
61,14,61
62,14,62
63,14,63
64,14,64
65,14,65
66,15,38
67,15,39
68,15,40
69,15,41
70,15,42
71,15,71
72,15,72
73,15,73
74,15,74
75,15,75
76,16,76
77,16,77
78,16,78
79,16,79
80,16,80
81,16,1
82,17,11
83,17,13
84,17,84
85,17,15
86,17,86
87,17,87
88,17,88
89,17,89
90,17,14
91,18,59
92,18,92
93,18,93
94,18,94
95,18,95
96,18,96
97,18,97
98,18,98
99,18,99
100,18,100
101,19,1
102,19,11
103,19,89
104,19,16
105,19,8
106,19,60
107,19,9
108,19,76
109,19,59
110,19,57
111,19,58
112,19,18
113,19,94
114,19,100
115,19,40
116,19,39
117,19,117
118,19,38
119,19,63
120,19,74
121,19,73
122,19,41
123,19,42
124,20,44
125,20,45
126,20,48
127,20,127
128,20,128
129,20,129
130,20,130
131,20,49
132,21,132
133,21,37
134,21,134
135,21,135
136,21,136
137,21,137
138,21,138
139,21,139
140,21,140
141,22,1
142,22,16
143,22,89
144,22,11
145,22,8
146,22,146
147,22,9
148,22,44
149,22,132
150,22,73
151,22,94
152,22,42
153,22,117
154,22,63
155,22,79
156,22,4
157,22,45
158,22,60
159,22,76
160,22,38
161,22,40
162,22,18
163,22,163
164,22,56
165,22,13
166,22,100
167,22,37
168,22,74
169,22,57
170,22,58
171,22,39
172,22,59
173,23,76
174,23,37
175,23,78
176,23,176
177,24,8
178,24,178
179,24,179
180,24,180
181,24,181
182,24,182
183,25,183
184,26,184
185,26,185
186,26,186
187,26,187
188,26,188
189,26,189
190,26,190
191,26,138
192,26,192
193,26,193
194,27,76
195,28,60
196,28,58
197,28,61
198,28,63
199,28,199
200,28,200
201,28,62
202,29,11
203,29,203
204,29,87
205,29,205
206,29,206
207,29,12
208,30,100
209,30,93
210,30,94
211,30,211
212,30,212
213,30,213
214,30,214
215,30,215
216,30,95
217,30,96
218,31,44
219,31,45
220,31,220
221,31,221
222,31,222
223,31,129
224,31,49
225,32,38
226,32,39
227,32,40
228,32,73
229,32,74
230,32,41
231,32,42
232,32,232
233,32,233
234,33,132
235,33,235
236,33,37
237,33,237
238,34,238
239,34,239
240,35,56
241,35,241
242,35,242
243,35,243
244,35,244
245,35,245
